"2025-05-01","VIDEOTRON LTEE    _V","57.49",,"127.18"
"2025-05-01","STM LOGE PEEL O   _M","7",,"120.18"
"2025-05-01","EPLV - BILLETTE   _M","14.25",,"105.93"
"2025-05-02","LS Cacao 70 Par   _M","33.23",,"72.7"
"2025-05-02","CHRONO-RECHARGE   _V","11",,"61.7"
"2025-05-02","PRODUITS DE BEA   _M","12.64",,"49.06"
"2025-05-02","BOUSTAN MCGILL    _M","5.74",,"43.32"
"2025-05-05","OCCASIA           _V","30",,"13.32"
"2025-05-05","LS Five Guys Pe   _M","8.61",,"4.71"
"2025-05-05","LU052 TFR-FR 6587165",,"50","54.71"
"2025-05-05","TOMMY CAFE CATH   _M","4.88",,"49.83"
"2025-05-05","WWW.AIRECO* AIR   _V","5.75",,"44.08"
"2025-05-06","E-TRANSFER ***Ktn",,"8","52.08"
"2025-05-06","LEAVES HOUSE MC   _M","3.34",,"48.74"
"2025-05-06","SEND E-TFR ***3ur","11",,"37.74"
"2025-05-06","MOBILE DEPOSIT",,"400","437.74"
"2025-05-06","WT201 TFR-FR 6587165",,"22","459.74"
"2025-05-06","SEND E-TFR ***nwD","133.4",,"326.34"
"2025-05-07","STM LOGE ASSOMP   _M","3.75",,"322.59"
"2025-05-07","E-TRANSFER ***mA5",,"300","622.59"
"2025-05-07","LEVI CANADA       _V","86",,"536.59"
"2025-05-07","E-TRANSFER ***wkt",,"163.04","699.63"
"2025-05-07","SEND E-TFR ***bXw","63.04",,"636.59"
"2025-05-07","Dynamite / Gara   _V","201.03",,"435.56"
"2025-05-08","Dynamite REV 05/07_V",,"201.03","636.59"
"2025-05-08","Dynamite / Gara   _V","68.93",,"567.66"
"2025-05-08","HOLLISTER         _V","91.92",,"475.74"
"2025-05-08","HM Hennes  Maur   _V","25.87",,"449.87"
"2025-05-09","FAMOUS PLAYER #   _M","11.5",,"438.37"
"2025-05-09","FAMOUS PLAYER #   _M","9.19",,"429.18"
"2025-05-09","Dynamite / Gara   _V","28.68",,"400.5"
"2025-05-09","Dynamite / Gara   _V","103.42",,"297.08"
"2025-05-13","Dynamite / Gara   _V",,"45.99","343.07"
"2025-05-13","BOUSTAN MCGILL    _M","5.74",,"337.33"
"2025-05-13","LEVI'S #423       _M",,"86","423.33"
"2025-05-13","*RFBT-MONTREAL    _M","8.32",,"415.01"
"2025-05-13","LEVI CANADA       _V","70.82",,"344.19"
"2025-05-14","Dynamite / Gara   _V",,"5.74","349.93"
"2025-05-14","Dynamite / Gara   _V",,"22.94","372.87"
"2025-05-14","BOUSTAN MCGILL    _M","5.74",,"367.13"
"2025-05-14","BOUSTAN MCGILL    _M","5.74",,"361.39"
"2025-05-16","STM LOGE SAUVE    _M","3.75",,"357.64"
"2025-05-16","TICKETMASTER CA   _V","271",,"86.64"
"2025-05-16","E-TRANSFER ***V7D",,"135","221.64"
"2025-05-16","JI174 TFR-TO 6587165","72",,"149.64"
"2025-05-16","SEND E-TFR ***mEm","7.5",,"142.14"
"2025-05-16","LE 30 FEVRIER I   _M","35.44",,"106.7"
"2025-05-20","UBER * PEN    1.50_V",,"2.02","108.72"
"2025-05-20","SEND E-TFR ***n3d","3.33",,"105.39"
"2025-05-20","E-TRANSFER ***z6P",,"240.08","345.47"
"2025-05-20","SEND E-TFR ***Bpq","110",,"235.47"
"2025-05-20","COINAMATIC        _V","10",,"225.47"
"2025-05-20","UBER CANADA/UBE   _V","84.24",,"141.23"
"2025-05-20","E-TRANSFER ***tSB",,"41","182.23"
"2025-05-20","UBER CANADA/UBE   _V","100.21",,"82.02"
"2025-05-20","UBER CANADA/UBE   _V",,"84.24","166.26"
"2025-05-21","GOOGLE *Go    2.33_V","3.37",,"162.89"
"2025-05-21","HM Hennes  Maur   _V",,"25.87","188.76"
"2025-05-21","Subway 24494      _M","1.6",,"187.16"
"2025-05-21","Subway 24494      _M","20.68",,"166.48"
"2025-05-22","E-TRANSFER ***vGY",,"240","406.48"
"2025-05-22","LITTLE BURGUNDY   _V","137.97",,"268.51"
"2025-05-22","APPLE.COM/BILL    _V","14.94",,"253.57"
"2025-05-22","MELK SUN LIFE     _M","4.6",,"248.97"
"2025-05-26","UBER CANADA       _V",,"19.49","268.46"
"2025-05-26","UBER CANADA/UBE   _V","13.04",,"255.42"
"2025-05-26","BOUSTAN MCGILL    _M","5.74",,"249.68"
"2025-05-27","RESTAURANT WILL   _M","48.69",,"200.99"
"2025-05-27","BEN AND JERRYS    _F","11.15",,"189.84"
"2025-05-27","STM LOGE BERRI    _F","3.75",,"186.09"
"2025-05-29","E-TRANSFER ***s7B",,"35.75","221.84"
"2025-05-29","SEND E-TFR ***jPu","56",,"165.84"
"2025-05-29","MCDONALD'S #400   _M","12.74",,"153.1"
"2025-05-30","*RFBT-MONTREAL    _M","8.67",,"144.43"
"2025-05-30","DOLLARAMA #1049   _M","23.09",,"121.34"
